Movie_Name,Star_Distribution
雅典娜：无间谍局 아테나: 전쟁의 여신 극장판,"[3.3, 8.3, 36.5, 32.0, 19.9]"
魅妆,"[2.3, 5.0, 31.6, 31.3, 29.8]"
3D豪情,"[4.1, 7.6, 30.9, 33.2, 24.1]"
D坂杀人事件 D坂の殺人事件,"[2.4, 6.6, 34.8, 40.4, 15.9]"
屌丝骑士 やるっきゃ騎士,"[3.7, 4.9, 23.8, 34.2, 33.3]"
年轻母亲：我年纪如何 젊은엄마 : 내 나이가 어때서,"[4.9, 7.1, 27.4, 38.9, 21.6]"
微交少女,"[3.0, 7.1, 28.8, 39.0, 22.1]"
沙西米,"[2.9, 3.9, 20.1, 39.8, 33.3]"
白百合 ホワイトリリー,"[3.7, 6.4, 38.5, 38.3, 13.0]"
美景之屋2 전망 좋은 집 2,"[8.0, 5.8, 23.8, 35.6, 26.7]"
花街柳巷,"[2.5, 4.2, 27.7, 42.5, 23.1]"
诱人的飞行 맛있는 비행,"[4.7, 4.2, 21.0, 33.0, 37.0]"
非分熟女,"[2.1, 6.2, 36.6, 40.7, 14.4]"
食物链 먹이사슬,"[5.2, 10.3, 31.5, 32.6, 20.5]"
鸭王2 鴨王2,"[3.8, 4.8, 25.2, 36.8, 29.4]"
7500航班 7500,"[2.4, 7.3, 34.9, 37.9, 17.5]"
凶手还未睡 兇手還未睡,"[0.7, 3.1, 19.7, 42.3, 34.1]"
凶间雪山,"[2.0, 3.2, 16.9, 33.9, 44.1]"
医生 닥터,"[3.6, 7.1, 31.7, 38.1, 19.5]"
取款机杀人夜 ATM,"[1.7, 7.7, 33.2, 35.3, 22.1]"
囧探佳人,"[6.0, 7.3, 24.4, 36.2, 26.1]"
夺命来电 Cell,"[1.1, 5.3, 30.1, 45.7, 17.9]"
尸油 3D น้ำมันพราย 3D,"[3.0, 4.6, 24.4, 40.2, 27.8]"
幻世追踪 Vice,"[1.4, 4.8, 32.9, 41.8, 19.1]"
异空危情,"[3.7, 4.3, 22.9, 27.5, 41.7]"
恋物 페티쉬,"[1.5, 6.4, 34.2, 38.5, 19.4]"
提线木偶 꼭두각시,"[2.5, 6.3, 31.5, 38.5, 21.2]"
敲敲门 Knock Knock,"[3.8, 9.3, 33.2, 33.8, 19.9]"
最后一次驱魔2 The Last Exorcism Part II,"[2.8, 6.7, 32.6, 40.4, 17.5]"
枕边有张脸,"[2.3, 4.4, 18.5, 31.5, 43.4]"
欲蛇 Hisss,"[2.2, 4.4, 21.5, 39.6, 32.3]"
猫脸老太太,"[6.1, 10.5, 36.1, 28.3, 19.0]"
白象 Elephant White,"[4.3, 9.9, 36.3, 34.2, 15.2]"
百万巨鳄,"[3.0, 8.2, 36.8, 34.4, 17.6]"
童眼,"[2.1, 5.6, 33.4, 39.8, 19.0]"
笔仙3,"[2.8, 4.6, 27.0, 33.1, 32.5]"
笔仙Ⅱ,"[1.5, 3.3, 21.5, 36.3, 37.3]"
笔仙大战贞子,"[5.6, 4.2, 18.1, 29.9, 42.2]"
第十九层空间,"[1.3, 3.5, 24.7, 40.1, 30.4]"
致命弯道5 Wrong Turn 5: Bloodlines,"[5.3, 9.5, 36.5, 32.2, 16.5]"
致命弯道6：终极审判 Wrong Turn 6: Last Resort,"[5.4, 8.6, 32.1, 34.5, 19.5]"
荒村公寓,"[0.9, 3.2, 21.8, 39.4, 34.7]"
荒村客栈,"[1.1, 3.1, 20.7, 40.6, 34.5]"
诡爱,"[4.1, 10.1, 36.2, 29.5, 20.1]"
超能泰坦 The Titan,"[1.4, 5.3, 31.8, 43.5, 18.1]"
通灵之六世古宅,"[3.0, 4.1, 22.9, 36.0, 34.0]"
门,"[3.5, 8.9, 37.6, 33.3, 16.8]"
陌生人 The Strangers,"[3.0, 10.0, 36.1, 34.0, 16.9]"
食人鱼3DD Piranha 3DD,"[2.5, 5.9, 29.8, 38.6, 23.2]"
高空飞行 Altitude,"[3.2, 11.4, 37.1, 32.2, 16.0]"
鬼娃回魂7 Cult of Chucky,"[4.5, 6.4, 30.6, 38.6, 19.9]"
魔轮,"[5.4, 7.4, 25.1, 29.8, 32.3]"
黑暗来临 And Soon the Darkness,"[2.2, 4.3, 37.4, 40.9, 15.1]"
舞出我人生之舞所不能,"[12.1, 12.6, 25.8, 30.2, 19.2]"
功夫小子 カンフーくん,"[3.3, 6.9, 28.7, 33.3, 27.7]"
斗破苍穹,"[6.0, 10.5, 24.3, 24.6, 34.6]"
皇家刺青,"[2.1, 7.7, 34.5, 34.4, 21.3]"
盖世英雄,"[11.2, 14.4, 29.9, 26.2, 18.3]"
黄飞鸿之怒海雄风,"[1.4, 1.4, 16.2, 41.2, 39.7]"
201314,"[3.3, 4.9, 25.3, 32.5, 34.0]"
21克拉,"[3.8, 6.7, 30.0, 34.7, 24.7]"
4B青年之4楼B座,"[2.8, 6.0, 26.0, 33.7, 31.5]"
一吻定情,"[3.2, 8.4, 28.7, 33.5, 26.2]"
一场风花雪月的事,"[3.2, 6.5, 31.0, 36.1, 23.1]"
一起飞,"[6.1, 9.3, 31.3, 28.2, 25.1]"
一路惊喜,"[4.5, 9.5, 36.6, 32.5, 16.9]"
三生三世十里桃花,"[4.3, 5.3, 17.8, 27.7, 44.9]"
上海王,"[2.9, 7.5, 35.8, 37.9, 15.9]"
东成西就2011,"[2.4, 4.8, 20.0, 32.0, 40.7]"
临时演员,"[0.6, 2.4, 19.0, 35.0, 43.0]"
乱青春 亂青春,"[2.7, 9.8, 37.0, 34.1, 16.5]"
二次初恋,"[2.5, 4.9, 24.7, 36.5, 31.3]"
伤心童话,"[6.0, 8.8, 31.7, 32.1, 21.4]"
傲娇与偏见,"[3.8, 9.4, 33.6, 29.2, 23.9]"
八星抱喜,"[2.4, 7.2, 40.1, 34.0, 16.3]"
