Movie_Name,Star_Distribution
天堂电影院 Nuovo Cinema Paradiso,"[65.1, 28.8, 5.6, 0.4, 0.1]"
天水围的日与夜 天水圍的日與夜,"[42.3, 44.9, 11.7, 0.9, 0.2]"
天狗,"[42.8, 45.2, 11.0, 0.8, 0.2]"
天鹅绒金矿 Velvet Goldmine,"[41.6, 40.1, 15.9, 1.9, 0.5]"
奇爱博士 Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"[51.6, 36.9, 10.2, 1.1, 0.3]"
奇迹 奇跡,"[49.1, 42.2, 8.2, 0.4, 0.1]"
奇迹男孩 Wonder,"[44.3, 43.7, 11.2, 0.6, 0.1]"
女人，四十,"[51.9, 40.1, 7.4, 0.4, 0.1]"
如父如子 そして父になる,"[40.4, 48.9, 10.2, 0.4, 0.1]"
妈妈再爱我一次 媽媽再愛我一次,"[39.8, 39.0, 18.1, 2.2, 1.0]"
安妮·霍尔 Annie Hall,"[44.2, 42.4, 12.0, 1.1, 0.3]"
完美的世界 A Perfect World,"[61.6, 31.5, 6.2, 0.5, 0.2]"
完美陌生人 Perfetti sconosciuti,"[41.0, 46.7, 11.4, 0.8, 0.2]"
宾虚 Ben-Hur,"[45.6, 41.1, 12.1, 0.9, 0.3]"
寄生虫 기생충,"[46.6, 42.9, 9.5, 0.7, 0.3]"
对她说 Hable con ella,"[42.9, 43.6, 12.4, 0.9, 0.2]"
寻子遇仙记 The Kid,"[63.7, 31.3, 4.7, 0.3, 0.1]"
小偷家族 万引き家族,"[44.8, 44.6, 9.7, 0.7, 0.2]"
小城之春,"[43.9, 43.4, 11.6, 0.9, 0.2]"
小森林 冬春篇 リトル・フォレスト 冬・春,"[59.1, 33.2, 7.0, 0.5, 0.2]"
小森林 夏秋篇 リトル・フォレスト 夏・秋,"[58.1, 33.7, 7.4, 0.6, 0.2]"
小萝莉的猴神大叔 Bajrangi Bhaijaan,"[42.2, 40.8, 15.0, 1.7, 0.4]"
